area_code,area_name,period,indicator,measure,units,value
E92000001,England,April 2019,Claimant count,Count,Persons,915240
E92000001,England,April 2019,Claimants as a proportion of residents aged 16-64,Percentage,Persons,2.6
E06000007,Warrington,April 2019,Claimant count,Count,Persons,3410
E06000007,Warrington,April 2019,Claimants as a proportion of residents aged 16-64,Percentage,Persons,2.6
E06000030,Swindon,April 2019,Claimant count,Count,Persons,3335
E06000030,Swindon,April 2019,Claimants as a proportion of residents aged 16-64,Percentage,Persons,2.4
E08000029,Solihull,April 2019,Claimant count,Count,Persons,3475
E08000029,Solihull,April 2019,Claimants as a proportion of residents aged 16-64,Percentage,Persons,2.7
E06000042,Milton Keynes,April 2019,Claimant count,Count,Persons,3230
E06000042,Milton Keynes,April 2019,Claimants as a proportion of residents aged 16-64,Percentage,Persons,1.9
E06000025,South Gloucestershire,April 2019,Claimant count,Count,Persons,2065
E06000025,South Gloucestershire,April 2019,Claimants as a proportion of residents aged 16-64,Percentage,Persons,1.2
E06000034,Thurrock,April 2019,Claimant count,Count,Persons,3125
E06000034,Thurrock,April 2019,Claimants as a proportion of residents aged 16-64,Percentage,Persons,2.9
E08000007,Stockport,April 2019,Claimant count,Count,Persons,4045
E08000007,Stockport,April 2019,Claimants as a proportion of residents aged 16-64,Percentage,Persons,2.3
E06000014,York,April 2019,Claimant count,Count,Persons,1850
E06000014,York,April 2019,Claimants as a proportion of residents aged 16-64,Percentage,Persons,1.3
E06000055,Bedford,April 2019,Claimant count,Count,Persons,3345
E06000055,Bedford,April 2019,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.2
E06000050,Cheshire West and Chester,April 2019,Claimant count,Count,Persons,5115
E06000050,Cheshire West and Chester,April 2019,Claimants as a proportion of residents aged 16-64,Percentage,Persons,2.5
E06000031,Peterborough,April 2019,Claimant count,Count,Persons,3950
E06000031,Peterborough,April 2019,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.2
E06000005,Darlington,April 2019,Claimant count,Count,Persons,2760
E06000005,Darlington,April 2019,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.3
E06000015,Derby,April 2019,Claimant count,Count,Persons,4760
E06000015,Derby,April 2019,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3
E08000002,Bury,April 2019,Claimant count,Count,Persons,3720
E08000002,Bury,April 2019,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.2
E06000020,Telford and Wrekin,April 2019,Claimant count,Count,Persons,2605
E06000020,Telford and Wrekin,April 2019,Claimants as a proportion of residents aged 16-64,Percentage,Persons,2.3
E08000009,Trafford,April 2019,Claimant count,Count,Persons,3375
E08000009,Trafford,April 2019,Claimants as a proportion of residents aged 16-64,Percentage,Persons,2.3
E92000001,England,May 2019,Claimant count,Count,Persons,922775
E92000001,England,May 2019,Claimants as a proportion of residents aged 16-64,Percentage,Persons,2.6
E06000007,Warrington,May 2019,Claimant count,Count,Persons,3330
E06000007,Warrington,May 2019,Claimants as a proportion of residents aged 16-64,Percentage,Persons,2.5
E06000030,Swindon,May 2019,Claimant count,Count,Persons,3325
E06000030,Swindon,May 2019,Claimants as a proportion of residents aged 16-64,Percentage,Persons,2.4
E08000029,Solihull,May 2019,Claimant count,Count,Persons,3485
E08000029,Solihull,May 2019,Claimants as a proportion of residents aged 16-64,Percentage,Persons,2.7
E06000042,Milton Keynes,May 2019,Claimant count,Count,Persons,3300
E06000042,Milton Keynes,May 2019,Claimants as a proportion of residents aged 16-64,Percentage,Persons,2
E06000025,South Gloucestershire,May 2019,Claimant count,Count,Persons,2135
E06000025,South Gloucestershire,May 2019,Claimants as a proportion of residents aged 16-64,Percentage,Persons,1.2
E06000034,Thurrock,May 2019,Claimant count,Count,Persons,3135
E06000034,Thurrock,May 2019,Claimants as a proportion of residents aged 16-64,Percentage,Persons,2.9
E08000007,Stockport,May 2019,Claimant count,Count,Persons,4060
E08000007,Stockport,May 2019,Claimants as a proportion of residents aged 16-64,Percentage,Persons,2.3
E06000014,York,May 2019,Claimant count,Count,Persons,1790
E06000014,York,May 2019,Claimants as a proportion of residents aged 16-64,Percentage,Persons,1.3
E06000055,Bedford,May 2019,Claimant count,Count,Persons,3345
E06000055,Bedford,May 2019,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.2
E06000050,Cheshire West and Chester,May 2019,Claimant count,Count,Persons,5155
E06000050,Cheshire West and Chester,May 2019,Claimants as a proportion of residents aged 16-64,Percentage,Persons,2.5
E06000031,Peterborough,May 2019,Claimant count,Count,Persons,3885
E06000031,Peterborough,May 2019,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.1
E06000005,Darlington,May 2019,Claimant count,Count,Persons,2780
E06000005,Darlington,May 2019,Claimants as a proportion of residents aged 16-64,Percentage,Persons,4.3
E06000015,Derby,May 2019,Claimant count,Count,Persons,4880
E06000015,Derby,May 2019,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3
E08000002,Bury,May 2019,Claimant count,Count,Persons,3760
E08000002,Bury,May 2019,Claimants as a proportion of residents aged 16-64,Percentage,Persons,3.2
E06000020,Telford and Wrekin,May 2019,Claimant count,Count,Persons,2685
E06000020,Telford and Wrekin,May 2019,Claimants as a proportion of residents aged 16-64,Percentage,Persons,2.4
E08000009,Trafford,May 2019,Claimant count,Count,Persons,3385
E08000009,Trafford,May 2019,Claimants as a proportion of residents aged 16-64,Percentage,Persons,2.3
E92000001,England,June 2019,Claimant count,Count,Persons,942115
E92000001,England,June 2019,Claimants as a proportion of residents aged 16-64,Percentage,Persons,2.7
E06000007,Warrington,June 2019,Claimant count,Count,Persons,3330
E06000007,Warrington,June 2019,Claimants as a proportion of residents aged 16-64,Percentage,Persons,2.5
E06000030,Swindon,June 2019,Claimant count,Count,Persons,3440
E06000030,Swindon,June 2019,Claimants as a proportion of residents aged 16-64,Percentage,Persons,2.4
E08000029,Solihull,June 2019,Claimant count,Count,Persons,3540
E08000029,Solihull,June 2019,Claimants as a proportion of residents aged 16-64,Percentage,Persons,2.8
E06000042,Milton Keynes,June 2019,Claimant count,Count,Persons,3410
E06000042,Milton Keynes,June 2019,Claimants as a proportion of residents aged 16-64,Percentage,Persons,2
E06000025,South Gloucestershire,June 2019,Claimant count,Count,Persons,2220
E06000025,South Gloucestershire,June 2019,Claimants as a proportion of residents aged 16-64,Percentage,Persons,1.2
E06000034,Thurrock,June 2019,Claimant count,Count,Persons,3225
